Oracle Item Number,Item Description,Department Name,Supplier Name,Avg Daily Burn Rate,Removal_Reason,Removal_Date
683374,Cannula Inner 10mm Old Style,Balance Sheet CC,Medline Industries Inc,0.28,Missing Lead Time,2025-09-11 06:58:47
803852,Catheter Follower Phillips Woven  16fr,Balance Sheet CC,Medline Industries Inc,0.02,Missing Lead Time,2025-09-11 06:58:47
803918,Kit Cath Suction 6Fr With Glove,Balance Sheet CC,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 06:58:47
804011,Support Lumbar-Sacrl Med 30-36,Balance Sheet CC,Medline Industries Inc,0.0,Missing Lead Time,2025-09-11 06:58:47
605852,Fltr Air Rear Pnl Sta Sys,Clinical Laboratory,Diagnostica Stago Inc,0.0,Missing Lead Time,2025-09-11 06:58:47
677644,Test Kit Alere Influenza A&B Latex Free 24T,Clinical Laboratory,Abbott Rapid DX North America LLC,0.66,Missing Lead Time,2025-09-11 06:58:47
677737,Test BinaxNow Malaria Latex Free Alere 10 per pack,Clinical Laboratory,Fisher Scientific Company LLC,0.02,Missing Lead Time,2025-09-11 06:58:47
714790,Kit Collection SWAB Genexpertobgyn STR 50 Tests,Clinical Laboratory,Cepheid,0.0,Missing Lead Time,2025-09-11 06:58:47
714803,"Diagnostics, 11 Panels, Medtox Profile-V",Clinical Laboratory,Fisher Scientific Company LLC,0.34,Missing Lead Time,2025-09-11 06:58:47
714803,"Diagnostics, 11 Panels, Medtox Profile-V",Clinical Laboratory,Fisher Scientific Company LLC,0.34,Missing Lead Time,2025-09-11 06:58:47
714804,Control Negative Medtox,Clinical Laboratory,Fisher Scientific Company LLC,0.04,Missing Lead Time,2025-09-11 06:58:47
714805,Control Positive Profile-V Medtoxscan,Clinical Laboratory,Fisher Scientific Company LLC,0.04,Missing Lead Time,2025-09-11 06:58:47
802635,Container Specimen Lab 8Oz,Clinical Laboratory,Medline Industries Inc,0.0,Missing Lead Time,2025-09-11 06:58:47
00779,Bag Specimen Urine Ped 24hr,Emergency Dept,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 06:58:47
639359,Kit Tube Gastrostomy Feed Mic Tragastric Jejunal 45cmx16fr E,Emergency Dept,Avanos Medical Inc,0.0,Missing Lead Time,2025-09-11 06:58:47
801414,Splint Finger Prong Sm,Emergency Dept,DJ Orthopedics LLC,0.04,Missing Lead Time,2025-09-11 06:58:47
802672,Clip Nose Plastic Disposable,Emergency Dept,Medline Industries Inc,0.28,Missing Lead Time,2025-09-11 06:58:47
803138,Resuscitator Manual Adlt Confrm Msk Adj,Emergency Dept,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 06:58:47
803138,Resuscitator Manual Adlt Confrm Msk Adj,Emergency Dept,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 06:58:47
803884,Needle Port-A-Cath Plastic Hub 19G x 1in,Emergency Dept,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 06:58:47
81652,Suture Ethl 18in 7-0 P6 Bk,Emergency Dept,Medline Industries Inc,0.06,Missing Lead Time,2025-09-11 06:58:47
695702,CURAD Universal Knee Wrap-Around Support,Employee Health Services,Medline Industries Inc,0.02,Missing Lead Time,2025-09-11 06:58:47
715010,Remover Urine Odor 32oz,Environmental Services,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 06:58:47
715010,Remover Urine Odor 32oz,Environmental Services,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 06:58:47
683374,Cannula Inner 10mm Old Style,General Med - Surg Unit 2,Medline Industries Inc,0.02,Missing Lead Time,2025-09-11 06:58:47
639719,Pull Perc Endo Placement (Min/Mult 2 each) 24FRX150CM,GI Lab,Cook Medical Incorporated,0.0,Missing Lead Time,2025-09-11 06:58:47
692402,Guidewire Endoscopic Novagold .018in x 260cm,GI Lab,Boston Scientific Corporation,0.02,Missing Lead Time,2025-09-11 06:58:47
76631,Kit Peg G-Tube Pull Single Use Feeding Standard 20fr,GI Lab,Boston Scientific Corporation,0.02,Missing Lead Time,2025-09-11 06:58:47
802765,Capnoline O2 Adlt Lng,GI Lab,Medline Industries Inc,0.06,Missing Lead Time,2025-09-11 06:58:47
801034,Kit Biopsy Max-Core 20Gx10Cm Ndl,IMG Body Ultrasound,Bard Peripheral Technologies Div CR Bard,0.02,Missing Lead Time,2025-09-11 06:58:47
801046,Diltr Vessel Telfon .038 Wire 20Cm 10.0,IMG CT,Boston Scientific Corporation,0.0,Missing Lead Time,2025-09-11 06:58:47
715178,Marker Soft Tissue And Delivery System Pink 5cm,IMG Diagnostic Rad,Elucent Medical Inc.,0.0,Missing Lead Time,2025-09-11 06:58:47
715179,Marker Soft Tissue And Delivery System Pink 7.5cm,IMG Diagnostic Rad,Elucent Medical Inc.,0.0,Missing Lead Time,2025-09-11 06:58:47
715183,Marker Soft Tissue And Delivery System Green 10cm,IMG Diagnostic Rad,Elucent Medical Inc.,0.0,Missing Lead Time,2025-09-11 06:58:47
695169,Povidone Iodine 10 Percent Ointment 1oz,IMG Interventional Rad,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 06:58:47
801046,Diltr Vessel Telfon .038 Wire 20Cm 10.0,IMG Interventional Rad,Boston Scientific Corporation,0.0,Missing Lead Time,2025-09-11 06:58:47
715021,Cuff Blood Pressure Adult Reusable MRI Safe,Intensive Care Unit,Iradimed Corporation,0.0,Missing Lead Time,2025-09-11 06:58:47
801430,Connector Y 0.375In Strl 508,Intensive Care Unit,Medline Industries Inc,0.54,Missing Lead Time,2025-09-11 06:58:47
715010,Remover Urine Odor 32oz,Lobby Services,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 06:58:47
608304,Screw Cann 4x26mm Ln Thrd Ss,Operating Room,Johnson & Johnson Health Care,0.0,Missing Lead Time,2025-09-11 06:58:47
608307,Screw Cann 4x32mm Ln Thrd Ss,Operating Room,Johnson & Johnson Health Care,0.0,Missing Lead Time,2025-09-11 06:58:47
610229,Guidewire Sextant Blunt,Operating Room,Medtronic USA Inc (Spinal andBiologics),0.0,Missing Lead Time,2025-09-11 06:58:47
610605,TRIDENT PSL HA CLUSTER 46MM,Operating Room,Stryker Orthopedics,0.02,Missing Lead Time,2025-09-11 06:58:47
610606,TRIDENT PSL HA CLUSTER 48MM,Operating Room,Stryker Orthopedics,0.0,Missing Lead Time,2025-09-11 06:58:47
610607,TRIDENT PSL HA CLUSTER 50MM,Operating Room,Stryker Orthopedics,0.0,Missing Lead Time,2025-09-11 06:58:47
610747,Head Hip V40 COCR Low Friction Ion Treatment 26mm/+4,Operating Room,Stryker Orthopedics,0.0,Missing Lead Time,2025-09-11 06:58:47
610811,Screw Bone Cancellous Recon 6.5 x 25mm,Operating Room,Stryker Orthopedics,0.0,Missing Lead Time,2025-09-11 06:58:47
610812,Screw Bone Cancellous Recon 6.5 x 30mm,Operating Room,Stryker Orthopedics,0.0,Missing Lead Time,2025-09-11 06:58:47
610813,Screw Bone Cancellous Recon 6.5 x 35mm,Operating Room,Stryker Orthopedics,0.0,Missing Lead Time,2025-09-11 06:58:47
616913,Screw Cannulated Ortho Trauma 85 x 6.5mm,Operating Room,Stryker Orthopedics,0.0,Missing Lead Time,2025-09-11 06:58:47
616914,Screw Cannulated Ortho Trauma 90 x 6.5mm,Operating Room,Stryker Orthopedics,0.02,Missing Lead Time,2025-09-11 06:58:47
619356,"FEMORAL, KNEE TRIATHLON CR FEMUR CEMENTED #1 LEFT",Operating Room,Stryker Orthopedics,0.0,Missing Lead Time,2025-09-11 06:58:47
619357,"FEMORAL, KNEE TRIATHLON CR FEMUR CEMENTED #1 RIGHT",Operating Room,Stryker Orthopedics,0.0,Missing Lead Time,2025-09-11 06:58:47
619358,"FEMORAL, KNEE TRIATHLON CR FEMUR CEMENTED #2 LEFT",Operating Room,Stryker Orthopedics,0.0,Missing Lead Time,2025-09-11 06:58:47
619359,"FEMORAL, KNEE TRIATHLON CR FEMUR CEMENTED #2 RIGHT",Operating Room,Stryker Orthopedics,0.02,Missing Lead Time,2025-09-11 06:58:47
619361,"FEMORAL, KNEE TRIATHLON CR FEMUR CEMENTED #3 RIGHT",Operating Room,Stryker Orthopedics,0.02,Missing Lead Time,2025-09-11 06:58:47
619364,"FEMORAL, KNEE TRIATHLON CR FEMUR CEMENTED #5 LEFT",Operating Room,Stryker Orthopedics,0.04,Missing Lead Time,2025-09-11 06:58:47
619365,"FEMORAL, KNEE TRIATHLON CR FEMUR CEMENTED #5 RIGHT",Operating Room,Stryker Orthopedics,0.04,Missing Lead Time,2025-09-11 06:58:47
