Oracle Item Number,Item Description,Burn Rate,Lead Time,UOM,Reason
00454,Gas for Non-Research Gas Air Compressed E,0.12,14.0,Cylinder,No historical demand data available
00456,Gas Medical Oxygen Size E Cylinder,0.08,14.0,Cylinder,No historical demand data available
00458,Gas for Non-Research Gas Nirtrogen H Size Cylinder,0.16,14.0,Cylinder,No historical demand data available
00462,Gas for Non-Research CO2 Cylinder E Tank,0.54,14.0,Cylinder,No historical demand data available
00779,Bag Specimen Urine Ped 24hr,0.04,14.0,Each,No historical demand data available
4105,,0.0,3.0,Unknown,No historical demand data available
715112,Label Covers Medi-cup Blist Oval Blue 25 Dose,0.02,14.0,Pack,No historical demand data available
30404,Gas for Non-Research Gas Medical Air H,0.06,14.0,Cylinder,No historical demand data available
30405,Nitrous Oxide Medical 56 Pound Cylinder,0.18,14.0,Cylinder,No historical demand data available
30677,Gas for Non-Research O2 Cylinder E Tank Non-Ferrous,0.0,14.0,Cylinder,No historical demand data available
40064,,0.0,5.5,Unknown,No historical demand data available
76631,Kit Peg G-Tube Pull Single Use Feeding Standard 20fr,0.02,14.0,Each,No historical demand data available
81652,Suture Ethl 18in 7-0 P6 Bk,0.06,14.0,Each,No historical demand data available
605852,Fltr Air Rear Pnl Sta Sys,0.0,14.0,Each,No historical demand data available
608304,Screw Cann 4x26mm Ln Thrd Ss,0.0,14.0,Each,No historical demand data available
608307,Screw Cann 4x32mm Ln Thrd Ss,0.0,14.0,Each,No historical demand data available
610229,Guidewire Sextant Blunt,0.0,14.0,Each,No historical demand data available
610605,TRIDENT PSL HA CLUSTER 46MM,0.02,14.0,Each,No historical demand data available
610606,TRIDENT PSL HA CLUSTER 48MM,0.0,14.0,Each,No historical demand data available
610607,TRIDENT PSL HA CLUSTER 50MM,0.0,14.0,Each,No historical demand data available
610747,Head Hip V40 COCR Low Friction Ion Treatment 26mm/+4,0.0,14.0,Each,No historical demand data available
610811,Screw Bone Cancellous Recon 6.5 x 25mm,0.0,14.0,Each,No historical demand data available
610812,Screw Bone Cancellous Recon 6.5 x 30mm,0.0,14.0,Each,No historical demand data available
