Oracle Item Number,Item Description,Department Name,Supplier Name,Avg Daily Burn Rate,Removal_Reason,Removal_Date
683374,Cannula Inner 10mm Old Style,Balance Sheet CC,Medline Industries Inc,0.28,Missing Lead Time,2025-09-11 03:28:18
803852,Catheter Follower Phillips Woven  16fr,Balance Sheet CC,Medline Industries Inc,0.02,Missing Lead Time,2025-09-11 03:28:18
803918,Kit Cath Suction 6Fr With Glove,Balance Sheet CC,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 03:28:18
804011,Support Lumbar-Sacrl Med 30-36,Balance Sheet CC,Medline Industries Inc,0.0,Missing Lead Time,2025-09-11 03:28:18
605852,Fltr Air Rear Pnl Sta Sys,Clinical Laboratory,Diagnostica Stago Inc,0.0,Missing Lead Time,2025-09-11 03:28:18
677644,Test Kit Alere Influenza A&B Latex Free 24T,Clinical Laboratory,Abbott Rapid DX North America LLC,0.66,Missing Lead Time,2025-09-11 03:28:18
677737,Test BinaxNow Malaria Latex Free Alere 10 per pack,Clinical Laboratory,Fisher Scientific Company LLC,0.02,Missing Lead Time,2025-09-11 03:28:18
714790,Kit Collection SWAB Genexpertobgyn STR 50 Tests,Clinical Laboratory,Cepheid,0.0,Missing Lead Time,2025-09-11 03:28:18
714803,"Diagnostics, 11 Panels, Medtox Profile-V",Clinical Laboratory,Fisher Scientific Company LLC,0.34,Missing Lead Time,2025-09-11 03:28:18
714803,"Diagnostics, 11 Panels, Medtox Profile-V",Clinical Laboratory,Fisher Scientific Company LLC,0.34,Missing Lead Time,2025-09-11 03:28:18
714804,Control Negative Medtox,Clinical Laboratory,Fisher Scientific Company LLC,0.04,Missing Lead Time,2025-09-11 03:28:18
714805,Control Positive Profile-V Medtoxscan,Clinical Laboratory,Fisher Scientific Company LLC,0.04,Missing Lead Time,2025-09-11 03:28:18
802635,Container Specimen Lab 8Oz,Clinical Laboratory,Medline Industries Inc,0.0,Missing Lead Time,2025-09-11 03:28:18
00779,Bag Specimen Urine Ped 24hr,Emergency Dept,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 03:28:18
639359,Kit Tube Gastrostomy Feed Mic Tragastric Jejunal 45cmx16fr E,Emergency Dept,Avanos Medical Inc,0.0,Missing Lead Time,2025-09-11 03:28:18
801414,Splint Finger Prong Sm,Emergency Dept,DJ Orthopedics LLC,0.04,Missing Lead Time,2025-09-11 03:28:18
802672,Clip Nose Plastic Disposable,Emergency Dept,Medline Industries Inc,0.28,Missing Lead Time,2025-09-11 03:28:18
803138,Resuscitator Manual Adlt Confrm Msk Adj,Emergency Dept,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 03:28:18
803138,Resuscitator Manual Adlt Confrm Msk Adj,Emergency Dept,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 03:28:18
803884,Needle Port-A-Cath Plastic Hub 19G x 1in,Emergency Dept,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 03:28:18
81652,Suture Ethl 18in 7-0 P6 Bk,Emergency Dept,Medline Industries Inc,0.06,Missing Lead Time,2025-09-11 03:28:18
695702,CURAD Universal Knee Wrap-Around Support,Employee Health Services,Medline Industries Inc,0.02,Missing Lead Time,2025-09-11 03:28:18
715010,Remover Urine Odor 32oz,Environmental Services,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 03:28:18
715010,Remover Urine Odor 32oz,Environmental Services,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 03:28:18
683374,Cannula Inner 10mm Old Style,General Med - Surg Unit 2,Medline Industries Inc,0.02,Missing Lead Time,2025-09-11 03:28:18
639719,Pull Perc Endo Placement (Min/Mult 2 each) 24FRX150CM,GI Lab,Cook Medical Incorporated,0.0,Missing Lead Time,2025-09-11 03:28:18
692402,Guidewire Endoscopic Novagold .018in x 260cm,GI Lab,Boston Scientific Corporation,0.02,Missing Lead Time,2025-09-11 03:28:18
76631,Kit Peg G-Tube Pull Single Use Feeding Standard 20fr,GI Lab,Boston Scientific Corporation,0.02,Missing Lead Time,2025-09-11 03:28:18
802765,Capnoline O2 Adlt Lng,GI Lab,Medline Industries Inc,0.06,Missing Lead Time,2025-09-11 03:28:18
801034,Kit Biopsy Max-Core 20Gx10Cm Ndl,IMG Body Ultrasound,Bard Peripheral Technologies Div CR Bard,0.02,Missing Lead Time,2025-09-11 03:28:18
801046,Diltr Vessel Telfon .038 Wire 20Cm 10.0,IMG CT,Boston Scientific Corporation,0.0,Missing Lead Time,2025-09-11 03:28:18
715178,Marker Soft Tissue And Delivery System Pink 5cm,IMG Diagnostic Rad,Elucent Medical Inc.,0.0,Missing Lead Time,2025-09-11 03:28:18
715179,Marker Soft Tissue And Delivery System Pink 7.5cm,IMG Diagnostic Rad,Elucent Medical Inc.,0.0,Missing Lead Time,2025-09-11 03:28:18
715183,Marker Soft Tissue And Delivery System Green 10cm,IMG Diagnostic Rad,Elucent Medical Inc.,0.0,Missing Lead Time,2025-09-11 03:28:18
695169,Povidone Iodine 10 Percent Ointment 1oz,IMG Interventional Rad,Medline Industries Inc,0.04,Missing Lead Time,2025-09-11 03:28:18
