Oracle Item Number,Item Description,Department Name,Supplier Name,Avg_Lead Time,Removal_Reason,Removal_Date
00235,Pad Alcohol Med Iso 70% Strl,Bariatric Clinic,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00264,Marker Skin Reg Tip Ruler Lbl,Bariatric Clinic,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00282,Bag Emesis Hygenic Vomit Collection,Bariatric Clinic,Medline Industries Inc,2.34,No PAR Location Mapping,2025-09-11 03:28:18
00346,Paper Table 21in Exam,Bariatric Clinic,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00346,Paper Table 21in Exam,Bariatric Clinic,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00378,Bandaid Adhesive Strip Flexible Fabric LF NS 0.75 X 3 In,Bariatric Clinic,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
00535,Glove Exam Non-Sterile Sm Nitrile PF LF,Bariatric Clinic,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00536,Glove Exam Non-Sterile Med Nitrile PF LF,Bariatric Clinic,Medline Industries Inc,0.66,No PAR Location Mapping,2025-09-11 03:28:18
00537,Glove Exam Non-Sterile Lg Nitrile PF LF,Bariatric Clinic,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00555,Syringe  LL LF STR 10ml,Bariatric Clinic,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00565,Ndl Hypo 18gx1.5in Safety Glide,Bariatric Clinic,Medline Industries Inc,0.66,No PAR Location Mapping,2025-09-11 03:28:18
00670,Drsg Gz 4x4in Spng STR 4 Ply Versalon,Bariatric Clinic,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00917,Binder Abdominal Medium/Large Surgical,Bariatric Clinic,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
01077,Syringe Saline Flush STR 0.9% 10ml Prefilled,Bariatric Clinic,Medline Industries Inc,3.0,No PAR Location Mapping,2025-09-11 03:28:18
01111,Holder Tube Single Use Non-Stackable,Bariatric Clinic,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
30025,Spirometer Incent Triflow II,Bariatric Clinic,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
30101,Glove Surg Protexis PI 7.5 PF LF Sterile,Bariatric Clinic,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
30219,Ndl 27gx1.25in Non-Safe,Bariatric Clinic,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
30328,Underpad Quilted MVP White,Bariatric Clinic,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
30844,Swab Chloraprep 3ml,Bariatric Clinic,Medline Industries Inc,0.76,No PAR Location Mapping,2025-09-11 03:28:18
30844,Swab Chloraprep 3ml,Bariatric Clinic,Medline Industries Inc,0.76,No PAR Location Mapping,2025-09-11 03:28:18
603580,Binder Abdominal Universal 10in,Bariatric Clinic,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
665298,Nutritional Shake Organic Vegan Liquid Sweet Vanilla Bean 11,Bariatric Clinic,Orgain Inc,36.0,No PAR Location Mapping,2025-09-11 03:28:18
668817,Band Exer Theraband Blue Extra Heavy 6 X 50YD,Bariatric Clinic,Performance Health Supply Inc,8.0,No PAR Location Mapping,2025-09-11 03:28:18
673595,Wheelchair Standard  500 LB Capacity X-Wide 22Inch,Bariatric Clinic,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
696962,Stopcock 3Way Hndl OFF Position Rotating Adpt 45 PSI,Bariatric Clinic,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
801349,Tourniquet Latex 1In X 18In Disp,Bariatric Clinic,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
