oid,Item Description,unit_of_measure,lo,lead_time,burn_rate,Stock Units Analytical
000005,Pitcher Graduated Triangular Disposable 32oz,Each,Level 1 ED,0.5,10.0,10.0
000005,Pitcher Graduated Triangular Disposable 32oz,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,27.0,30.0
000005,Pitcher Graduated Triangular Disposable 32oz,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,21.0,21.0
000005,Pitcher Graduated Triangular Disposable 32oz,Each,Level 7 ICU,0.5,33.0,33.0
000005,Pitcher Graduated Triangular Disposable 32oz,Each,Perpetual,0.5,8.0,29.0
000009,Restraint Lmb Hld,Pair,Level 1 ED,0.5,5.0,5.0
000009,Restraint Lmb Hld,Pair,"Level 5 Observation, Medical Tele & Non-Tele",0.5,2.0,3.0
000009,Restraint Lmb Hld,Pair,"Level 6 Telemetry, Cardiac & Stroke",0.5,4.0,4.0
000009,Restraint Lmb Hld,Pair,Level 7 ICU,0.5,7.0,7.0
000009,Restraint Lmb Hld,Pair,Perpetual,0.5,2.0,7.0
000016,Mask Face Anes Lg,Each,Level 2 Surgery/Procedures/PACU,1.0,2.64,33.0
000017,Mask Face Anesthesia Standard Adult,Each,Level 2 Surgery/Procedures/PACU,0.66,2.04,31.0
000017,Mask Face Anesthesia Standard Adult,Each,Level 2 Surgery/Procedures/PACU,0.66,0.06,4.0
000017,Mask Face Anesthesia Standard Adult,Each,Respiratory Therapy,0.66,0.16,9.0
000021,Kit Cath Suction 14fr Regu-Vac LF,Each,Level 1 ED,0.5,4.0,4.0
000021,Kit Cath Suction 14fr Regu-Vac LF,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,9.0,10.0
000021,Kit Cath Suction 14fr Regu-Vac LF,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,15.0,15.0
000021,Kit Cath Suction 14fr Regu-Vac LF,Each,Level 7 ICU,0.5,35.0,35.0
000021,Kit Cath Suction 14fr Regu-Vac LF,Each,Perpetual,0.5,5.0,6.0
